UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,A set of attributes that defines the physical location of a User or Site,Address,Address,ObjectClass,C25407,"A standardized representation of the geographical location of a person, business, building, or organization.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,id,System generated unique identifier.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,id,System generated unique identifier.,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,id,System generated unique identifier.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,street,Street,Street_Address,Street Address,Property,C25690,The street name and building number where a person or organization can be found.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,city,City,City,City,Property,C25160,A large and densely populated urban area; a city specified in an address.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,state,State,State,State,Property,C25687,The way something is with respect to its main attributes.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,state,State,US_State,State,Property,C30010,"One of the fifty states which is a member of the federation known as the United States of America. Other US geographic areas, such as Puerto Rico and the District of Columbia, are essentially equivalent to State when used in an address.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,country,Country,Country,Country,Property,C25464,"A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,zipCode,Zip code,Code,Code,Property,C25162,"A system, often of numbered categories, for representation of data.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.Address,zipCode,Zip code,Zip_Code,Zip Code,Property,C25720,A system designed to expedite the sorting and delivery of mail by assigning a series of numbers to each delivery area in the United States.  Also used to refer to any individual delivery area code. (from the American Heritage Dictionary),NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,A set of attributes that define Image Type,Type,Type,ObjectClass,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,A set of attributes that define Image Type,Image,Image,ObjectClass,C48179,Any record of an imaging event whether physical or electronic.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,id,System generated unique identifier.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,id,System generated unique identifier.,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,id,System generated unique identifier.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,name,"The type of the image ie JPEG, PNG, GIF, TIFF, BMP",Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,name,"The type of the image ie JPEG, PNG, GIF, TIFF, BMP",Carney_Complex,Carney Syndrome,Property,C4705,,,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,name,"The type of the image ie JPEG, PNG, GIF, TIFF, BMP",Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,mimeType,Stores the content type of the image,Type,Type,Property,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.ImageType,mimeType,Stores the content type of the image,Etoposide_Ifosfamide_Methotrexate_Mitoguazone,Etoposide/Ifosfamide/Methotrexate/Mitoguazone,Property,C9615,,,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,A person who interacts with the caElmir data system and/or participates in the studies,User,User,ObjectClass,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,id,System generated unique identifier.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,id,System generated unique identifier.,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,id,System generated unique identifier.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,firstName,First name of the user,First,First,Property,C25509,Preceding all others in time or space or degree.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,firstName,First name of the user,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,firstName,First name of the user,First_Name,First Name,Property,C40974,A word or group of words indicating a person's first (personal or given) name; the name that precedes the surname.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,lastName,Last name of the user,Last_Name,Last Name,Property,C40975,A word or group of words indicating a person's last (family) name.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,lastName,Last name of the user,Last,Last,Property,C25551,Coming after all others in time or space or degree or being the only one remaining.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,lastName,Last name of the user,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,initials,Initials of user,Initial,Initials,Property,C25536,"The first letter of a word, especially the first letter of each word in a proper name.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,initials,Initials of user,Initials,Initials,Property,C25537,The first letter of each word in a proper name.  A clinical trial may use a patients initials rather than their full name to ensure confidentiality.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,csmUserId,Common security module linking attribute.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,csmUserId,Common security module linking attribute.,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,csmUserId,Common security module linking attribute.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,csmUserId,Common security module linking attribute.,User,User,Property,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,department,The name of the department to which a user belongs,Department_Name,Department,Property,C42671,A specialized division of a large organization.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,emailAddress,Email address of the user,Address,Address,Property,C25407,"A standardized representation of the geographical location of a person, business, building, or organization.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,emailAddress,Email address of the user,E-mail,E-mail,Property,C25170,"E-mail is short for ""electronic mail"" and refers to composing, sending, and receiving messages over electronic communication systems. Most e-mail systems use the Internet.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,emailAddress,Email address of the user,Email_Address,E-mail Address,Property,C42775,A text string identifier for a location to which e-mail can be delivered.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,loginName,Login name of the user,Login_Name,Login Name,Property,C42694,The account name used by a person to access a computer system.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,loginName,Login name of the user,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,password,Encrypted text string to verify the user identity.,Password,Password,Property,C42710,"A secret set of characters, numbers, or symbols used as a form of authentication.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,createdDate,Date when this user was added to the system.,Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,createdDate,Date when this user was added to the system.,Created,Creation,Property,C42620,The process by which something is brought into existence; having been brought into existence.,NCI,,0
Logical View.Logical Model.edu.ucdavis.caelmir.domain.common.User,comments,User can enter brief information about himself,Comments,Comment,Property,C25393,A written explanation or criticism or illustration that is added to a book or other textual material.,NCI,,0
